N,SongName,SongString
64,littlespanishtown.mid,p+4+3+3-2-10-2-2-1-2+7-9+5+4p-2-2+2-7+4+3p-2-1+1-5+9-4+9-2+5p-17+2+3-1+1+2+2-2-2-8+1+2+2-50+1+2+2-4p+4+2+3-1+1+2+1-1-2-5+2+1-3+5-5+2+1-3+5+1+1-9+5+4p-2-2+4-9+5+4p-2-2+2p0-7+4+3p-2-1+3-7+4+3p-2-1+1p-5+2+3-1-2-2+10-1-2+3+2-3p0-9+5+4p-2-2+4-9+5+4p-2-2+2p+3-9+3+6p-1-2+3-9+3+6p-1-2+2p-7+4+3+3-2-10-2-2-1-2p+7-9+5+4p-2-2+2-7+4+3p-2-1+1p+4-9+5+4p-2-2+4-9+5+4p-2-2+2p0-7+4+3p-2-1+3-7+4+3p-2-1+1p-5+2+3-1-2-2+10-1-2+3+2-3p0-9+5+4p-2-2+4-9+5+4p-2-2+2p+3-9+3+6p-1-2+3-9+3+6p-1-2+2p-7+4+3+3-2-10-2-2-1-2p+7-9+5+4p-2-2+2-7+4+3p-2-1+1
65,whisper.mxl,-1-7+3+40-2+2-2-5+3000-2-1+1p0p00+7-3-4+70-1-4-3+7-7+500+2+1
66,youdbesonice.mxl,+5p-20-1-2-1+1-50-1+1+5-20-3-2-20+2+2+10-10+4+3+3-3+10+2+1+1-4+3-3-100-2+2+1-10-2-1+1-500+1+4+3-3
67,pourtoi.mxl,0-70p0+2p+10-1-2+7-70p0+2+10-1-2+7+500-200+2-2-2-10p
68,whilewedream.mxl,-1-2-2+2-2-7+2+200+3+2-4+4+2-4+7-2p-80+8-8+3+4-2-500+3+5-8+3+4-2-40-1+1p+9000-2-10+3+7-10+3+4+2
69,janine.mid,p+1+2+2-5+1-3+2+1-3+2+1
70,vagyok.mxl,p+2-2+5-3-2-3-2p0+2-2+5-3-2-3-2p-20+20+30-3+300-3+3-3+200-4+4-4+2p+10+2-2+5-3-2-3-2p0+2-2+2-2+2-2-2p00+20-2+2+1+1p0+5-5+3-3-9+2+3
71,mizpahshalom.mxl,p+1+4+3+5+2+2-5-2+2+1-3-11+1+3+3+6+1+2-5+2-2-50+1+4-2-3+3-200+4+2+1+2-3-2-2p+8-4-2-20-8+1+4+3+5+2+2-5-2+2-20
72,idreamed.mxl,p+5-1+1-1+1-1+10-1-2-2+2-2+2-2+20-2-2-1+1-10+1-1-2-2+70p+2+5-2+2-2+2-2+20-2-1-2+2-2+2-2+20-2-2+2+2-2-2+20-4+2p0+5-1+1-1+1-1+10-1-2-2+2-2+2-2+20-20-2-1+1-1+1-1-2-2+70
73,messiah.mxl,p-1-2-2+2+2+1+2-3+300-2-1-20+3-1-20p+3-1-2+2+1+2+2-4+40+2+1-5-30+3-2-10p0-2-2+2+2+1+2-3+30+2+10-1-2-2-1+50p
74,itallcomes.mxl,pp000-4-10-2+20+3-2-30+20+3-2-3-5+30+9000-4-3p
75,getoveryou.mid,-2-3-2-2-3-2+2+3-3
76,es.mxl,p+30-20-10-2+2+1-6+3p+30-10-20-2+2+2-5+3p+30-10-20+2+1-3+3-10p+5000+80-10-20-20-1-7+300+90-20-20-1-2-2-3+3+20+50-20-10-2-2-2+4-20p+2p0+8-10-20-20-1-7+3p0+9-20-20-1-2-2-3+1p-3+2+1-3-20p
77,iloveyouyesido.mxl,p000-300+2000-400-3+5-20-20p-5+2
78,kalamazoo_warren.mxl,000000000000+4+3+500-3-2-70000p+70-2-3+50-2-3+50-2-3+50-2-1-4000000000000+4+3+500-3-2-70000p+70-2-3+50-2-3+50-2-3+50-2-1-4000000000p
79,keeponsingingtwo.mxl,p+90000+1-10-4+2-2+2+2-700+50-2+20+2-20-7+2+30-3+3-5+2-2000+9000+1-100-4+200+2-700+5000-2+40-20-700+2+3-3+3+2-200+2+20-2-2+40-2-20+2-2+2-2+2+2-7+50-2+2-2+2-2+40-2-700+2+300-3+30p
80,beginthebeguine.mxl,p+2+500-3-2+20+1p-50+2+7+2-2+2-2+2-2+2+1+2-1+1-2-1-2-1+1+2+1-1+1+2+1-1-2-1-20-2-200000-3+2+1-1-2+2+1-1-2+2+1+2-2-3-2
81,reich.mid,p+2+1-1-2p0+2+1-1-2p0+2+1-1-2p+5p-2p-1p-2p0+2+1-1-2p0+2+1-1-2p0+2+1-1-2p+5p-2p-1p-2p0+2+1-1-200+2+1-1-200+2+1-1-20+5-2-1-200+2+1-1-200+2+1-1-200+2+1-1-20+5-2-1-20
82,kalamazoo_arnstein.mxl,-50-3000-4+4+3-7-5+5+40-4+4+3-7-5+5+4+8p-5+2+2-4p+5p0+2-2p-8000+800+2-3p-8000+900+2-3p-9000+100p-12000-200p+9000-90000p+8000-90000+80000-90000p+8000p-9p+12+2+2+1p-3-2-2-10+5-2-20+4-2-2-1+5-2-2-1+5-2-2p-7p0p-1p-2-1p
83,pourtoi.mid,0-70p0+2p+1-1-2+7-70p0+2+10-1-2+7+5-200+2-2-2-10
84,whereareyou.mxl,p+2+1-10-200p+20+1-1-20p0+2+1-10+3-30-2p+3-1-20p
85,sadness.mxl,-1-2-5-4+4-20+9-3-4-2-2-1-20+15-1-2-5-4+4-20p+2+2+2+3-3+10p0-2+2-2-5p+3-100p+3+2-2p
86,littlespanishtown.mxl,-9+5+40-2-2+4-9+5+4+5-70-2+2p0-7+4+300-3p+3-7+4+300-3p+1p0p0-8+5+2-2p+3-8+5+2-2p+2-70p+7-7+7-2-2+4-7+7-2-2+2-50p
87,someday_prince.mxl,+5-4+3-200+8-4+3-20+2+1+200+400-40-3+1+200+400-40p-12+5-4+3-200+8-4+3-20+2+1+20+7-2-11+1-1+1+9-2-2000000
88,loopdilove.mid,p0+2+2-4p00+2+2-4p+2+2+1-1-2p-20+2+2-4p-3+2+1-1-2p0+2+1-1-2p+30+2+2-4p00+2+2-4
89,heartbeat.mid,-2-3-2-2-3-2+2+3-3
90,keeponsinging.mxl,00-2-2+40-4+4-2-2+40-20000+2-7+50-2-1+30+50-2-1p0-2-2+400000000000-20000+2-2-5p+50000+50000-2-1000-2-2+40-40000+2+100-10-2+20
91,motheranddad.mxl,+1p+1-2-1-1-1-1+10+3+1+1-2-3-4+4+5-200-1-1-1-1+1+3-1-1-1+5-500-2-2-1-3+1+50+2+1+2-2-1-4+2+2-20+2+1+2-2-1+1-8+3+40p
92,bisschenfrieden.mid,p0+1+200+2-2+4000+1+20-2-1-20-2-30+1+200+2-2+4000+1+20-2+4-2-2-80+1+200+2-2+4000+1+20-2-1-20-2-30+1+200+2-2+4000+1+20-2+4-2-2
93,el_rancho_anonymous.mxl,+12p00p-10p-2+3p+2-2+2+1+1-60p-10+2-2-1+1p+10p-3p-7p+2p-2+2p-2+9p-4-5+2-2p-3+3+5+40-9+5+4p+3-2-1+3-80-4+4+3+9-2-2-2-1p0p-9+5+4p+3-2-1+3-80-4+4+3+9-2-2-2-1p
94,blessees.mid,p+1+2+2-5+1-3+2+1-3+2+1
95,shalom.mxl,+12000+1-1-4+4+1-1-2p0p0p-10p0+10000+2-2-3+30p0-3+2p+1-1p-10p-3p+1200p0+2p-2-3+3+2-2-4+3p+1p-5p00-12+12000+1-1-4-1-1-1+2+1+1+3-2+5-3p-4-1p-1p-1+2+1+1+3-2+9-3-3-1+3-3-3+1-3-20
96,ilpostino.mxl,p+3-3+30-3+5-5+300+2-20-2-1+1+7-7-100+1-10-2-1+1+5-8+3-2-1+1+4+3+5-1+1-3+2-4p-15+3-3+30-3+3-3+300+2-2+2-2-2-1+8-8+1p+12+2-2-1-9+9-9+9p0+3-3-2-7+7-7+7p0-2-1+1
97,superstring.mid,p+2+1-3p-2p+2p+2+1-3p-2
98,greengrassgrows.mid,p+2+1-3-20p+2p+2+1-3-2
99,starlight.mxl,+5-1-5-1+50-10-5+3-2+2-2-1-1+10p+3+5-1-5-1+5-1-5
100,chatterbox_jerome.mxl,+3-7+4+3-7+4+3-7+2+3-1000+7+3-10+7+3-10+7+3-10+5+4-9000+2+2+1+2-2-1+800-2+2-2+2-2+2-2-1000+3-8+5+3-7+4+3-7+2+3-1000+7+3-10+9+1-10+7+3-10+5+4-900
101,amothersprayer.mxl,+5+2p+1-1-20-1+1+2-5+2p-4+10-2-10-2+2+1-1-2p-5+12-2-20+2+2+1-1-20+2+1-1-12+4+3+5-2-3-2-5+5+2+1-1-20-1+1+2-5+2p-4+10-2-10-2+2+1-1-2p-5+12-2-20+2+2+1-1-20+2+1-1-12+4+3+5-2-2-3p
102,lady_love.mxl,-2-1-3+1+3+7-1-2-2-3-5+1+4+7-2-2-2-4+1+9-2-6+1+10-2-1-20+2+1+4-2-2-1-2-2-2-1-3+1+3+7-1
103,feelings.mxl,-70+5-5+2+1-3+7-70p0+2+1-3+70-2-2p-1+1+4p+5-900p+9-2-2-1+1+20p-2-1-2+30-1+1p0-1-2-2+2+2p
104,evangelimann.mid,p0-1+1+9-40-1-40-1+1+10-1-10+1-60-2+1+10+2-2-20-1-2-2+2+2
105,nearyou.mxl,p-1p+3-2-1-1-2+100-1+2-1-1-1-3+10-1+1+2+2+1+4-2-1+3-2-5+2+2+1+2-1+1+2-2-4-1-2+5-1+3-2-1-1-2+100-1+2-1-1-1-3+1
106,howdeepisyourlove.mxl,+5+2+20-4+2+2-40p+1+1+2+1000-3+2+1-30p+2+1+2000-3+3+2-20-3-400+2+2+1000+2-3-20p-20+90000+3-3+50-3-400+2+30-3-2+20-2-3+3
107,sanfranciscobrewingad.mxl,+30+2+3-3+3-30-2-3-4+4p+3+2-2+3-1-2-2+2+2-14+40+3+5+2-2-30-2-2-3-2+120-2-1p-5+50
108,alla_rancho.mxl,p+300-20-10+1-1+1+1+1-5-3+3-2-1+3+50-5+50-20-1-4-5+5+4+3-2-1+3-8-4+4+3+3-1-2+2-4-5+5+4+3-2-1+3-8-4+4+3+3-1-2+2-4
109,gumtree.mxl,000+200-2-3+3-3+12000+100-1-4+4-40-3+2+1-3-2-3+1+2-2-1-4000
110,diesererde.mid,p0+1+20p0+2-2p0-2p-30+2p+10p0+2-2p0-1p00+1p+20p0+2-2p0-2p-30+2p+10p0+2-2p0-1p00+1+20p0+2-2p0-2p-30+2p+10p0+2-2p0-1p00+1p+20p0+2-2p0-2p-3+3+2p-20p+4-2-2p0-1
111,mitternachtstango.mid,-1+1+9-2-20-1p-4-1+1+10-1-1+1p-40+4+30+2-2-2p+2-2-1-1+1+1-1-2-2
112,mygodandi.mxl,+30-7+4+3-3+30-2-10-4+4-2-2+4-2p00+2-4-10+1p+50+40-2-2-3+3-1-2+2p0+1+2-7+2+2+50+30-1-2-4+4-2-2+40+30-1-2-40+40-2-2+4-2+9-4-5-2-1+30-3+7-2-20-2-3+5-2-10-2-3+10
